Power 0B,Power 1Y,Power 2G,Power 3W,Time,Trial Number
4158.00,2932.00,2946.00,0.00,10656.00,0
4116.00,2878.00,3068.00,0.00,10696.00,0
4198.00,2910.00,2998.00,0.00,10737.00,0
4182.00,2860.00,2878.00,0.00,10778.00,0
4236.00,2864.00,2884.00,0.00,10818.00,0
4270.00,2850.00,2992.00,0.00,10859.00,0
4240.00,2834.00,3008.00,0.00,10900.00,0
2720.00,2894.00,426.00,0.00,10939.00,0
2940.00,2916.00,1330.00,0.00,10980.00,0
2870.00,2894.00,1602.00,0.00,11019.00,0
2880.00,3004.00,1570.00,0.00,11060.00,0
2960.00,2986.00,1520.00,0.00,11101.00,0
2904.00,3004.00,1534.00,0.00,11141.00,0
2776.00,3024.00,1576.00,0.00,11182.00,0
2746.00,5230.00,1536.00,0.00,11222.00,0
2804.00,4310.00,1530.00,0.00,11263.00,0
2766.00,4122.00,1546.00,0.00,11304.00,0
2766.00,4110.00,1514.00,0.00,11344.00,0
2968.00,4086.00,1518.00,0.00,11385.00,0
2874.00,4172.00,1510.00,0.00,11425.00,0
2956.00,4122.00,1590.00,0.00,11466.00,0
2982.00,4174.00,1520.00,0.00,11507.00,0
2842.00,4218.00,1540.00,0.00,11547.00,0
2834.00,4280.00,1540.00,0.00,11588.00,0
2842.00,4236.00,1536.00,0.00,11628.00,0
2842.00,4210.00,1544.00,0.00,11669.00,0
2740.00,4182.00,1520.00,0.00,11710.00,0
2740.00,4194.00,1540.00,0.00,11750.00,0
2842.00,4214.00,1534.00,0.00,11791.00,0
2874.00,4282.00,1520.00,0.00,11831.00,0
2750.00,4322.00,1500.00,0.00,11871.00,0
2936.00,4296.00,1540.00,0.00,11912.00,0
2910.00,4204.00,1534.00,0.00,11952.00,0
3666.00,4194.00,1530.00,0.00,11993.00,0
3440.00,4148.00,2376.00,0.00,12034.00,0
3414.00,4086.00,2026.00,0.00,12074.00,0
3248.00,3938.00,2032.00,0.00,12115.00,0
3376.00,3958.00,2052.00,0.00,12155.00,0
3234.00,3880.00,2028.00,0.00,12196.00,0
3182.00,3956.00,2088.00,0.00,12237.00,0
3238.00,3916.00,2134.00,0.00,12277.00,0
3340.00,3762.00,2114.00,0.00,12318.00,0
3384.00,3814.00,1980.00,0.00,12358.00,0
3304.00,3792.00,1992.00,0.00,12399.00,0
3322.00,3834.00,2008.00,0.00,12440.00,0
3260.00,3820.00,2094.00,0.00,12480.00,0
3284.00,3804.00,2042.00,0.00,12521.00,0
3316.00,3738.00,2088.00,0.00,12561.00,0
3264.00,3736.00,2062.00,0.00,12602.00,0
3340.00,3788.00,2048.00,0.00,12642.00,0
3332.00,3778.00,2048.00,0.00,12682.00,0
3392.00,3886.00,2064.00,0.00,12723.00,0
3398.00,3890.00,2084.00,0.00,12764.00,0
3366.00,3838.00,2160.00,0.00,12804.00,0
3458.00,3828.00,2074.00,0.00,12845.00,0
3352.00,3798.00,2048.00,0.00,12885.00,0
3274.00,3748.00,2028.00,0.00,12926.00,0
3280.00,3828.00,1998.00,0.00,12967.00,0
3182.00,3810.00,2080.00,0.00,13007.00,0
3218.00,3838.00,2094.00,0.00,13048.00,0
3234.00,3810.00,2090.00,0.00,13088.00,0
3320.00,3838.00,1954.00,0.00,13129.00,0
3352.00,3756.00,1996.00,0.00,13170.00,0
3346.00,3748.00,1982.00,0.00,13210.00,0
3304.00,3788.00,2038.00,0.00,13251.00,0
3372.00,3818.00,2012.00,0.00,13291.00,0
3346.00,3910.00,2058.00,0.00,13332.00,0
3326.00,3890.00,2028.00,0.00,13373.00,0
3300.00,2248.00,2038.00,0.00,13413.00,0
3366.00,2762.00,2026.00,0.00,13453.00,0
3422.00,2886.00,2042.00,0.00,13493.00,0
3336.00,2932.00,2028.00,0.00,13534.00,0
3418.00,2968.00,2034.00,0.00,13575.00,0
3474.00,2932.00,2126.00,0.00,13615.00,0
3576.00,2966.00,2104.00,0.00,13656.00,0
3474.00,2982.00,2136.00,0.00,13697.00,0
3458.00,2932.00,2084.00,0.00,13737.00,0
3440.00,2986.00,2160.00,0.00,13778.00,0
3394.00,2952.00,2156.00,0.00,13818.00,0
3382.00,2946.00,2180.00,0.00,13859.00,0
3398.00,2896.00,2156.00,0.00,13900.00,0
3440.00,2916.00,2186.00,0.00,13940.00,0
3430.00,2976.00,2150.00,0.00,13981.00,0
3576.00,2968.00,2116.00,0.00,14021.00,0
3572.00,2926.00,2126.00,0.00,14062.00,0
3494.00,2998.00,2130.00,0.00,14103.00,0
3408.00,2952.00,2146.00,0.00,14143.00,0
1600.00,2904.00,2212.00,0.00,14184.00,0
2048.00,2982.00,2034.00,0.00,14224.00,0
1980.00,2956.00,2146.00,0.00,14265.00,0
2044.00,2968.00,2176.00,0.00,14305.00,0
1992.00,3040.00,2172.00,0.00,14345.00,0
2120.00,2982.00,2140.00,0.00,14386.00,0
2058.00,3012.00,2130.00,0.00,14427.00,0
2104.00,2978.00,2130.00,0.00,14467.00,0
2198.00,3048.00,2182.00,0.00,14508.00,0
1996.00,3182.00,2198.00,0.00,14548.00,0
2156.00,3122.00,2180.00,0.00,14589.00,0
2212.00,3126.00,2192.00,0.00,14630.00,0
2218.00,3060.00,2144.00,0.00,14670.00,0
2134.00,3074.00,2196.00,0.00,14711.00,0
2264.00,3040.00,2144.00,0.00,14751.00,0
2360.00,3074.00,2150.00,0.00,14792.00,0
2326.00,3106.00,2162.00,0.00,14833.00,0
2362.00,3168.00,2152.00,0.00,14873.00,0
2362.00,3120.00,2182.00,0.00,14914.00,0
2320.00,3050.00,2156.00,0.00,14954.00,0
2372.00,3116.00,2188.00,0.00,14995.00,0
2372.00,3086.00,2100.00,0.00,15036.00,0
2360.00,3060.00,2152.00,0.00,15076.00,0
2334.00,3070.00,2222.00,0.00,15116.00,0
2350.00,3084.00,2208.00,0.00,15156.00,0
2320.00,3156.00,2212.00,0.00,15197.00,0
6518.00,3086.00,2094.00,0.00,15238.00,0
5354.00,3024.00,1936.00,0.00,15278.00,0
4938.00,2950.00,2490.00,0.00,15319.00,0
4916.00,2940.00,2270.00,0.00,15360.00,0
5342.00,2860.00,2242.00,0.00,15400.00,0
5270.00,2832.00,2324.00,0.00,15441.00,0
5388.00,2822.00,2346.00,0.00,15481.00,0
5620.00,4860.00,2258.00,0.00,15522.00,0
5524.00,4014.00,2234.00,0.00,15563.00,0
5280.00,3834.00,2192.00,0.00,15603.00,0
5164.00,3788.00,2108.00,0.00,15644.00,0
5036.00,3768.00,2088.00,0.00,15684.00,0
5108.00,3712.00,2104.00,0.00,15725.00,0
5288.00,3782.00,2108.00,0.00,15766.00,0
5348.00,3758.00,2156.00,0.00,15806.00,0
5306.00,3742.00,2134.00,0.00,15847.00,0
5272.00,3674.00,2110.00,0.00,15887.00,0
5168.00,3670.00,2088.00,0.00,15927.00,0
5044.00,3738.00,2114.00,0.00,15968.00,0
5080.00,3774.00,2104.00,0.00,16008.00,0
5066.00,3748.00,2150.00,0.00,16049.00,0
5134.00,3712.00,2162.00,0.00,16089.00,0
5194.00,3674.00,2144.00,0.00,16130.00,0
5230.00,3684.00,2088.00,0.00,16171.00,0
5154.00,3732.00,2048.00,0.00,16211.00,0
5088.00,3712.00,2094.00,0.00,16252.00,0
5030.00,3870.00,2150.00,0.00,16293.00,0
1944.00,3774.00,2188.00,0.00,16333.00,0
2428.00,3726.00,2224.00,0.00,16374.00,0
2642.00,3722.00,1048.00,0.00,16414.00,0
2534.00,3828.00,1416.00,0.00,16455.00,0
2650.00,3998.00,1464.00,0.00,16496.00,0
2608.00,4136.00,1482.00,0.00,16536.00,0
2786.00,4164.00,1498.00,0.00,16577.00,0
2576.00,2058.00,1478.00,0.00,16617.00,0
2614.00,2828.00,1530.00,0.00,16658.00,0
2536.00,2860.00,1500.00,0.00,16699.00,0
2494.00,2874.00,1500.00,0.00,16738.00,0
2524.00,2818.00,1518.00,0.00,16779.00,0
2496.00,2786.00,1554.00,0.00,16819.00,0
2454.00,2878.00,1494.00,0.00,16860.00,0
2542.00,2864.00,1626.00,0.00,16901.00,0
2566.00,2946.00,1600.00,0.00,16941.00,0
2570.00,2942.00,1626.00,0.00,16982.00,0
2622.00,2860.00,1616.00,0.00,17023.00,0
2566.00,2842.00,1586.00,0.00,17063.00,0
2772.00,2824.00,1530.00,0.00,17104.00,0
2602.00,2824.00,1518.00,0.00,17144.00,0
2632.00,2860.00,1500.00,0.00,17185.00,0
2546.00,2834.00,1536.00,0.00,17226.00,0
2634.00,2804.00,1528.00,0.00,17266.00,0
2606.00,2844.00,1534.00,0.00,17307.00,0
2572.00,2878.00,1544.00,0.00,17347.00,0
4962.00,2896.00,1510.00,0.00,17388.00,0
4306.00,2858.00,1540.00,0.00,17429.00,0
4388.00,2812.00,3680.00,0.00,17469.00,0
4500.00,2736.00,2842.00,0.00,17510.00,0
4680.00,2704.00,2726.00,0.00,17549.00,0
4646.00,2638.00,2886.00,0.00,17590.00,0
4584.00,2648.00,3048.00,0.00,17631.00,0
4564.00,5518.00,2982.00,0.00,17671.00,0
4282.00,4256.00,2910.00,0.00,17712.00,0
4148.00,3994.00,2742.00,0.00,17752.00,0
4038.00,3884.00,2596.00,0.00,17793.00,0
4112.00,3810.00,2632.00,0.00,17834.00,0
4178.00,3804.00,2742.00,0.00,17874.00,0
4338.00,3850.00,2742.00,0.00,17915.00,0
4322.00,3828.00,2694.00,0.00,17956.00,0
4246.00,3778.00,2624.00,0.00,17996.00,0
4146.00,3834.00,2648.00,0.00,18037.00,0
4182.00,3864.00,2700.00,0.00,18077.00,0
4162.00,3912.00,2768.00,0.00,18118.00,0
4228.00,3824.00,2752.00,0.00,18159.00,0
4228.00,3762.00,2720.00,0.00,18199.00,0
4296.00,3804.00,2586.00,0.00,18240.00,0
4290.00,3848.00,2680.00,0.00,18280.00,0
4228.00,3850.00,2680.00,0.00,18321.00,0
4110.00,3830.00,2654.00,0.00,18362.00,0
4086.00,3808.00,2660.00,0.00,18401.00,0
4054.00,3792.00,2756.00,0.00,18442.00,0
1098.00,3856.00,2762.00,0.00,18482.00,0
1566.00,3792.00,3162.00,0.00,18523.00,0
1720.00,3886.00,2952.00,0.00,18564.00,0
1862.00,3982.00,3064.00,0.00,18604.00,0
2034.00,4168.00,3140.00,0.00,18645.00,0
2070.00,4372.00,3086.00,0.00,18685.00,0
2058.00,4342.00,3136.00,0.00,18726.00,0
2064.00,2926.00,3090.00,0.00,18767.00,0
2052.00,3418.00,3014.00,0.00,18807.00,0
2080.00,3612.00,3120.00,0.00,18848.00,0
2028.00,3568.00,3146.00,0.00,18889.00,0
2058.00,3630.00,3136.00,0.00,18929.00,0
2048.00,3612.00,3188.00,0.00,18970.00,0
2052.00,3630.00,3136.00,0.00,19010.00,0
2022.00,3520.00,3146.00,0.00,19051.00,0
2042.00,3608.00,3186.00,0.00,19092.00,0
2094.00,3568.00,3310.00,0.00,19132.00,0
2100.00,3602.00,3254.00,0.00,19173.00,0
2098.00,3558.00,3188.00,0.00,19212.00,0
2048.00,3548.00,3126.00,0.00,19253.00,0
2034.00,3588.00,3080.00,0.00,19294.00,0
2062.00,3562.00,3140.00,0.00,19334.00,0
2062.00,3620.00,3142.00,0.00,19375.00,0
1990.00,3588.00,3208.00,0.00,19415.00,0
2034.00,3558.00,3110.00,0.00,19456.00,0
2058.00,3598.00,3260.00,0.00,19497.00,0
6924.00,3540.00,2920.00,0.00,19537.00,0
5524.00,3388.00,2642.00,0.00,19578.00,0
5158.00,3312.00,2464.00,0.00,19619.00,0
5020.00,3294.00,1154.00,0.00,19659.00,0
5390.00,3270.00,1524.00,0.00,19700.00,0
5732.00,3294.00,1626.00,0.00,19740.00,0
5842.00,3424.00,1672.00,0.00,19781.00,0
5976.00,3404.00,1616.00,0.00,19822.00,0
6104.00,3286.00,1616.00,0.00,19862.00,0
6016.00,3382.00,1608.00,0.00,19903.00,0
5974.00,3306.00,1590.00,0.00,19943.00,0
5744.00,3352.00,1644.00,0.00,19984.00,0
5722.00,3382.00,1602.00,0.00,20025.00,0
5784.00,3412.00,1602.00,0.00,20064.00,0
5646.00,3404.00,1590.00,0.00,20105.00,0
5922.00,3294.00,1590.00,0.00,20145.00,0
5948.00,3346.00,1586.00,0.00,20186.00,0
5866.00,3356.00,1632.00,0.00,20227.00,0
5806.00,3326.00,1550.00,0.00,20267.00,0
5722.00,3356.00,1550.00,0.00,20308.00,0
5928.00,3418.00,1616.00,0.00,20348.00,0
5912.00,3412.00,1596.00,0.00,20389.00,0
5904.00,3408.00,1602.00,0.00,20430.00,0
6050.00,3304.00,1600.00,0.00,20470.00,0
5908.00,3304.00,1586.00,0.00,20511.00,0
5786.00,3274.00,1592.00,0.00,20552.00,0
5650.00,3316.00,1606.00,0.00,20592.00,0
2306.00,3378.00,1582.00,0.00,20633.00,0
2680.00,3412.00,1572.00,0.00,20673.00,0
2684.00,3502.00,1200.00,0.00,20714.00,0
2680.00,3572.00,1346.00,0.00,20755.00,0
2796.00,3568.00,1416.00,0.00,20795.00,0
2848.00,3448.00,1412.00,0.00,20836.00,0
2834.00,3520.00,1416.00,0.00,20875.00,0
2910.00,3486.00,1426.00,0.00,20916.00,0
2742.00,2090.00,1412.00,0.00,20957.00,0
2814.00,2628.00,1406.00,0.00,20997.00,0
2834.00,2714.00,1416.00,0.00,21038.00,0
2804.00,2850.00,1396.00,0.00,21078.00,0
2704.00,2768.00,1376.00,0.00,21119.00,0
2778.00,2864.00,1528.00,0.00,21160.00,0
2914.00,2670.00,1426.00,0.00,21200.00,0
2890.00,2802.00,1490.00,0.00,21241.00,0
2936.00,2870.00,1396.00,0.00,21281.00,0
2916.00,2678.00,1426.00,0.00,21322.00,0
