Power 0B,Power 1Y,Power 2G,Power 3W,Time,Trial Number
1130.00,1490.00,1402.00,0.00,11926.00,0
10898.00,1458.00,1402.00,0.00,11968.00,0
5470.00,1318.00,1382.00,0.00,12007.00,0
4220.00,1328.00,1376.00,0.00,12048.00,0
4470.00,1582.00,1382.00,0.00,12089.00,0
7716.00,1790.00,1380.00,0.00,12129.00,0
8006.00,1832.00,1482.00,0.00,12170.00,0
8028.00,1976.00,7028.00,0.00,12210.00,0
8054.00,1920.00,5016.00,0.00,12251.00,0
7930.00,1960.00,5234.00,0.00,12292.00,0
8002.00,1936.00,5524.00,0.00,12332.00,0
806.00,1976.00,5256.00,0.00,12372.00,0
1182.00,1992.00,5236.00,0.00,12412.00,0
1546.00,1980.00,5046.00,0.00,12453.00,0
1600.00,1944.00,5138.00,0.00,12494.00,0
1592.00,1890.00,5518.00,0.00,12534.00,0
1576.00,8330.00,5040.00,0.00,12575.00,0
1618.00,6476.00,5080.00,0.00,12615.00,0
1602.00,5866.00,4816.00,0.00,12656.00,0
1626.00,5614.00,4300.00,0.00,12697.00,0
1638.00,5550.00,4162.00,0.00,12737.00,0
1608.00,5624.00,4054.00,0.00,12778.00,0
1672.00,5532.00,4168.00,0.00,12817.00,0
1682.00,5508.00,4302.00,0.00,12858.00,0
1672.00,5574.00,4526.00,0.00,12899.00,0
1694.00,5378.00,4450.00,0.00,12939.00,0
1626.00,5450.00,2280.00,0.00,12980.00,0
1682.00,5614.00,658.00,0.00,13020.00,0
1632.00,2388.00,1228.00,0.00,13060.00,0
1644.00,1370.00,1314.00,0.00,13101.00,0
1278.00,1412.00,1294.00,0.00,13141.00,0
1164.00,1364.00,1324.00,0.00,13182.00,0
1216.00,1446.00,1324.00,0.00,13223.00,0
1180.00,1498.00,1350.00,0.00,13263.00,0
1212.00,1498.00,1300.00,0.00,13304.00,0
1232.00,1514.00,1350.00,0.00,13344.00,0
1200.00,1500.00,1308.00,0.00,13385.00,0
1264.00,1474.00,1354.00,0.00,13426.00,0
5588.00,1438.00,1370.00,0.00,13466.00,0
3974.00,1324.00,1320.00,0.00,13507.00,0
3526.00,1354.00,1330.00,0.00,13547.00,0
4002.00,1528.00,1336.00,0.00,13588.00,0
6666.00,1772.00,1258.00,0.00,13628.00,0
6894.00,1960.00,1308.00,0.00,13668.00,0
7526.00,2196.00,1422.00,0.00,13709.00,0
8566.00,2160.00,1632.00,0.00,13749.00,0
8582.00,2186.00,1802.00,0.00,13790.00,0
8586.00,2176.00,1766.00,0.00,13831.00,0
8546.00,2242.00,1754.00,0.00,13871.00,0
8514.00,2176.00,1772.00,0.00,13912.00,0
8398.00,2166.00,1760.00,0.00,13953.00,0
8432.00,2162.00,1770.00,0.00,13993.00,0
8452.00,2134.00,1756.00,0.00,14034.00,0
8038.00,2088.00,6518.00,0.00,14074.00,0
7104.00,2064.00,4374.00,0.00,14115.00,0
6966.00,8162.00,4080.00,0.00,14156.00,0
6934.00,6646.00,3900.00,0.00,14196.00,0
1546.00,6068.00,4220.00,0.00,14237.00,0
2074.00,5914.00,4296.00,0.00,14277.00,0
2228.00,5970.00,4086.00,0.00,14318.00,0
