Power 0B,Power 1Y,Power 2G,Power 3W,Time,Trial Number
6822.00,3168.00,4974.00,0.00,12783.00,0
6756.00,3122.00,4932.00,0.00,12823.00,0
6826.00,3122.00,4968.00,0.00,12864.00,0
6928.00,3194.00,4974.00,0.00,12905.00,0
6810.00,3086.00,4892.00,0.00,12945.00,0
6748.00,3156.00,4942.00,0.00,12986.00,0
6792.00,3172.00,4906.00,0.00,13025.00,0
6806.00,3146.00,4906.00,0.00,13066.00,0
6740.00,3176.00,4932.00,0.00,13107.00,0
6668.00,3132.00,4862.00,0.00,13147.00,0
6868.00,3150.00,4968.00,0.00,13188.00,0
6848.00,3146.00,4962.00,0.00,13228.00,0
6688.00,3132.00,4938.00,0.00,13269.00,0
6602.00,3152.00,4962.00,0.00,13310.00,0
6636.00,3116.00,4958.00,0.00,13350.00,0
6856.00,3120.00,6420.00,0.00,13391.00,0
1390.00,3166.00,6176.00,0.00,13432.00,0
2016.00,3186.00,6022.00,0.00,13472.00,0
2152.00,3182.00,6036.00,0.00,13513.00,0
2150.00,3312.00,6010.00,0.00,13553.00,0
2252.00,7418.00,6066.00,0.00,13594.00,0
2352.00,6174.00,6016.00,0.00,13635.00,0
2262.00,6114.00,6066.00,0.00,13675.00,0
2208.00,6006.00,6124.00,0.00,13716.00,0
2222.00,6062.00,6036.00,0.00,13756.00,0
2188.00,6062.00,6036.00,0.00,13797.00,0
2202.00,6114.00,5976.00,0.00,13837.00,0
2156.00,6032.00,6004.00,0.00,13877.00,0
2234.00,6130.00,6052.00,0.00,13918.00,0
2242.00,6072.00,6022.00,0.00,13958.00,0
2186.00,5980.00,5996.00,0.00,13999.00,0
2162.00,6108.00,5984.00,0.00,14040.00,0
2152.00,6042.00,6022.00,0.00,14080.00,0
2222.00,6102.00,5960.00,0.00,14121.00,0
2232.00,6072.00,5912.00,0.00,14161.00,0
2212.00,5974.00,6092.00,0.00,14202.00,0
2160.00,6094.00,6004.00,0.00,14243.00,0
2186.00,5948.00,6000.00,0.00,14283.00,0
2218.00,6014.00,5960.00,0.00,14324.00,0
2156.00,5902.00,5984.00,0.00,14365.00,0
2208.00,5980.00,6010.00,0.00,14405.00,0
2270.00,5958.00,6082.00,0.00,14446.00,0
9680.00,5588.00,6170.00,0.00,14486.00,0
7914.00,5338.00,6066.00,0.00,14527.00,0
7392.00,5200.00,6092.00,0.00,14568.00,0
7282.00,5240.00,6134.00,0.00,14608.00,0
7592.00,5152.00,6158.00,0.00,14648.00,0
7592.00,8670.00,6140.00,0.00,14688.00,0
7412.00,7842.00,6112.00,0.00,14729.00,0
7364.00,7372.00,6112.00,0.00,14770.00,0
7272.00,7292.00,6124.00,0.00,14810.00,0
7246.00,7418.00,6086.00,0.00,14851.00,0
7124.00,7098.00,6082.00,0.00,14891.00,0
7144.00,7264.00,6154.00,0.00,14932.00,0
7146.00,7324.00,6062.00,0.00,14973.00,0
7010.00,7356.00,6014.00,0.00,15013.00,0
6914.00,7446.00,6020.00,0.00,15054.00,0
7110.00,7218.00,6072.00,0.00,15095.00,0
7098.00,7278.00,6230.00,0.00,15135.00,0
7022.00,7232.00,6112.00,0.00,15176.00,0
7174.00,7216.00,6128.00,0.00,15216.00,0
6966.00,7426.00,6032.00,0.00,15257.00,0
6866.00,7082.00,6042.00,0.00,15298.00,0
6930.00,7032.00,6052.00,0.00,15338.00,0
7028.00,7278.00,6134.00,0.00,15379.00,0
7062.00,7400.00,6158.00,0.00,15419.00,0
6924.00,7128.00,6016.00,0.00,15459.00,0
7056.00,7226.00,5996.00,0.00,15500.00,0
6838.00,6980.00,4112.00,0.00,15540.00,0
140.00,7318.00,4590.00,0.00,15580.00,0
1098.00,8722.00,4732.00,0.00,15620.00,0
1364.00,8868.00,4764.00,0.00,15661.00,0
1462.00,8906.00,4854.00,0.00,15702.00,0
1410.00,9022.00,4732.00,0.00,15742.00,0
1426.00,488.00,4700.00,0.00,15782.00,0
1410.00,1258.00,4726.00,0.00,15822.00,0
1396.00,1510.00,4610.00,0.00,15863.00,0
1528.00,1560.00,4780.00,0.00,15904.00,0
1452.00,1572.00,4726.00,0.00,15944.00,0
1514.00,1596.00,4728.00,0.00,15985.00,0
1436.00,1560.00,4728.00,0.00,16025.00,0
1464.00,1572.00,4646.00,0.00,16066.00,0
1478.00,1596.00,4692.00,0.00,16107.00,0
1546.00,1554.00,4820.00,0.00,16147.00,0
1464.00,1560.00,4784.00,0.00,16188.00,0
1592.00,1600.00,4886.00,0.00,16229.00,0
1484.00,1642.00,4808.00,0.00,16268.00,0
1510.00,1642.00,4742.00,0.00,16309.00,0
1472.00,1582.00,4672.00,0.00,16349.00,0
1488.00,1644.00,4736.00,0.00,16390.00,0
1418.00,1600.00,4670.00,0.00,16431.00,0
1448.00,1580.00,4692.00,0.00,16471.00,0
1458.00,1608.00,4752.00,0.00,16512.00,0
1428.00,1576.00,4702.00,0.00,16552.00,0
1462.00,1556.00,4738.00,0.00,16593.00,0
7770.00,1520.00,4066.00,0.00,16634.00,0
6168.00,1570.00,4266.00,0.00,16674.00,0
6476.00,1508.00,4328.00,0.00,16715.00,0
6484.00,1540.00,4354.00,0.00,16755.00,0
6494.00,1484.00,4368.00,0.00,16796.00,0
6520.00,4912.00,4420.00,0.00,16837.00,0
6026.00,3486.00,4400.00,0.00,16877.00,0
5836.00,3156.00,4358.00,0.00,16918.00,0
5938.00,3060.00,4364.00,0.00,16959.00,0
5814.00,3074.00,4336.00,0.00,16999.00,0
5722.00,3058.00,4332.00,0.00,17040.00,0
5734.00,3054.00,4372.00,0.00,17079.00,0
5814.00,3028.00,4382.00,0.00,17120.00,0
5742.00,3028.00,4290.00,0.00,17161.00,0
5738.00,3076.00,4318.00,0.00,17201.00,0
5748.00,3048.00,4240.00,0.00,17242.00,0
5860.00,3038.00,4352.00,0.00,17282.00,0
5768.00,3068.00,4372.00,0.00,17323.00,0
5750.00,3050.00,4382.00,0.00,17364.00,0
5748.00,3022.00,4388.00,0.00,17404.00,0
5862.00,3040.00,4390.00,0.00,17445.00,0
5796.00,3070.00,4374.00,0.00,17485.00,0
5728.00,3058.00,4286.00,0.00,17526.00,0
5660.00,3048.00,4352.00,0.00,17567.00,0
5842.00,3022.00,4302.00,0.00,17607.00,0
5770.00,3050.00,4374.00,0.00,17648.00,0
5892.00,3014.00,8012.00,0.00,17688.00,0
2038.00,3074.00,6822.00,0.00,17729.00,0
2714.00,3080.00,6560.00,0.00,17770.00,0
2858.00,3106.00,6448.00,0.00,17810.00,0
2848.00,3090.00,6384.00,0.00,17851.00,0
2868.00,8064.00,6538.00,0.00,17891.00,0
2960.00,5876.00,6498.00,0.00,17931.00,0
2868.00,5668.00,6544.00,0.00,17972.00,0
2842.00,5902.00,6494.00,0.00,18012.00,0
2842.00,5836.00,6494.00,0.00,18053.00,0
2814.00,5850.00,6452.00,0.00,18094.00,0
2762.00,5724.00,6478.00,0.00,18134.00,0
2860.00,5816.00,6402.00,0.00,18175.00,0
2858.00,5940.00,6456.00,0.00,18215.00,0
2874.00,5678.00,6374.00,0.00,18256.00,0
2932.00,5814.00,6400.00,0.00,18297.00,0
2824.00,5758.00,6484.00,0.00,18337.00,0
2874.00,5882.00,6566.00,0.00,18378.00,0
2850.00,5758.00,6524.00,0.00,18418.00,0
2910.00,5846.00,6556.00,0.00,18459.00,0
2870.00,5784.00,6538.00,0.00,18500.00,0
2844.00,5748.00,6344.00,0.00,18540.00,0
2828.00,5856.00,6440.00,0.00,18581.00,0
2828.00,5856.00,6374.00,0.00,18621.00,0
2878.00,5902.00,6422.00,0.00,18662.00,0
2864.00,5714.00,6340.00,0.00,18702.00,0
2874.00,5702.00,6360.00,0.00,18742.00,0
2832.00,5780.00,5260.00,0.00,18783.00,0
7608.00,5630.00,5666.00,0.00,18824.00,0
6468.00,5410.00,5796.00,0.00,18864.00,0
6138.00,5230.00,5836.00,0.00,18905.00,0
5968.00,5168.00,5764.00,0.00,18945.00,0
5832.00,8180.00,5676.00,0.00,18986.00,0
5888.00,7092.00,5646.00,0.00,19027.00,0
5796.00,6970.00,5712.00,0.00,19067.00,0
5666.00,6600.00,5584.00,0.00,19108.00,0
5636.00,6622.00,5630.00,0.00,19148.00,0
5714.00,6774.00,5610.00,0.00,19189.00,0
5904.00,6832.00,5718.00,0.00,19230.00,0
5852.00,6920.00,5742.00,0.00,19270.00,0
5652.00,6718.00,5732.00,0.00,19311.00,0
5724.00,6756.00,5722.00,0.00,19351.00,0
5790.00,6874.00,5722.00,0.00,19392.00,0
5846.00,6904.00,5790.00,0.00,19433.00,0
5868.00,6892.00,5646.00,0.00,19473.00,0
5686.00,6898.00,5678.00,0.00,19514.00,0
5570.00,6756.00,5666.00,0.00,19554.00,0
5580.00,6878.00,5672.00,0.00,19594.00,0
5630.00,6498.00,5702.00,0.00,19635.00,0
5706.00,6734.00,5696.00,0.00,19675.00,0
5760.00,6702.00,5650.00,0.00,19716.00,0
5632.00,6908.00,5734.00,0.00,19757.00,0
5688.00,6672.00,5718.00,0.00,19797.00,0
5466.00,6658.00,4518.00,0.00,19838.00,0
5688.00,6910.00,4886.00,0.00,19878.00,0
756.00,6946.00,5030.00,0.00,19918.00,0
1926.00,7504.00,5122.00,0.00,19959.00,0
2280.00,7798.00,5170.00,0.00,19999.00,0
2386.00,7826.00,5112.00,0.00,20040.00,0
2320.00,1130.00,4970.00,0.00,20080.00,0
2340.00,1294.00,4958.00,0.00,20121.00,0
2360.00,1736.00,4922.00,0.00,20162.00,0
2330.00,1854.00,4952.00,0.00,20202.00,0
2480.00,1836.00,5016.00,0.00,20243.00,0
2504.00,1818.00,5014.00,0.00,20283.00,0
2516.00,1828.00,4968.00,0.00,20323.00,0
2504.00,1842.00,5062.00,0.00,20364.00,0
2540.00,1826.00,4958.00,0.00,20404.00,0
2516.00,1802.00,4942.00,0.00,20445.00,0
2516.00,1836.00,4974.00,0.00,20486.00,0
2582.00,1900.00,4926.00,0.00,20526.00,0
2526.00,1842.00,4994.00,0.00,20567.00,0
2566.00,1864.00,4968.00,0.00,20607.00,0
2506.00,1842.00,4862.00,0.00,20648.00,0
2588.00,1898.00,4978.00,0.00,20689.00,0
2510.00,1852.00,5000.00,0.00,20729.00,0
2664.00,1852.00,4970.00,0.00,20770.00,0
2562.00,1848.00,5020.00,0.00,20810.00,0
2516.00,1854.00,4980.00,0.00,20851.00,0
2540.00,1878.00,5020.00,0.00,20892.00,0
2514.00,1884.00,11842.00,0.00,20933.00,0
10260.00,1812.00,10054.00,0.00,20976.00,0
8562.00,1772.00,9588.00,0.00,21016.00,0
8310.00,1790.00,9378.00,0.00,21057.00,0
8218.00,1822.00,9228.00,0.00,21098.00,0
8088.00,13042.00,9240.00,0.00,21139.00,0
7510.00,8310.00,9276.00,0.00,21180.00,0
7042.00,7272.00,9404.00,0.00,21221.00,0
6856.00,7016.00,9440.00,0.00,21260.00,0
6692.00,7052.00,9254.00,0.00,21301.00,0
6712.00,6914.00,9384.00,0.00,21341.00,0
