curr 0B,curr 1Y,curr 2G,curr 3W,Time,Trial Number,,,,
1.02,8.07,8.01,7.47,voltageMeasure,-1,,,,
0,566,976,976,13952,0,839.3333333,,,
0,580,976,976,13990,0,844,,,
0,580,976,976,14028,0,844,,,
0,580,1032,908,14066,0,840,,,
0,676,1032,908,14105,0,872,,,
0,676,1032,908,14142,0,872,,,
0,676,1028,908,14181,0,870.6666667,,,
0,676,1028,5056,14220,0,2253.333333,,,
0,656,1028,5056,14260,0,2246.666667,,,
0,656,1028,5056,14300,0,2246.666667,,,
0,656,1038,4928,14339,0,2207.333333,,,
0,658,1038,4928,14379,0,2208,,,
0,658,1038,4928,14418,0,2208,,,
0,658,1032,4926,14458,0,2205.333333,,,
0,646,1032,4926,14498,0,2201.333333,,,
0,646,1032,4926,14537,0,2201.333333,,,
0,646,1026,3140,14577,0,1604,,,
0,652,1026,3140,14616,0,1606,,,
0,652,1026,3140,14655,0,1606,,,
0,652,3720,3140,14695,0,2504,,,
0,652,3720,760,14733,0,1710.666667,,,
0,4286,3720,760,14773,0,2922,,,
0,4286,2762,760,14812,0,2602.666667,,,
0,4286,2762,774,14852,0,2607.333333,,,
0,3552,2762,774,14892,0,2362.666667,,,
0,3552,2762,774,14931,0,2362.666667,,,
0,3552,2644,770,14971,0,2322,,,
0,3028,2644,770,15010,0,2147.333333,,,
0,3028,2644,770,15050,0,2147.333333,,,
0,3028,2514,774,15089,0,2105.333333,,,
0,3458,2514,774,15129,0,2248.666667,,,
0,3458,2514,774,15169,0,2248.666667,,,
0,3458,2612,780,15207,0,2283.333333,,,
0,3458,2612,780,15247,0,2283.333333,,,
0,3176,2612,780,15286,0,2189.333333,,,
0,3176,2622,780,15326,0,2192.666667,,,
0,3176,2622,780,15366,0,2192.666667,,,
0,410,2622,780,15404,0,1270.666667,,,
0,410,976,780,15442,0,722,,,
0,410,976,776,15479,0,720.6666667,,,
0,448,976,776,15517,0,733.3333333,,,
0,448,976,776,15554,0,733.3333333,,,
0,448,1206,720,15592,0,791.3333333,,,
0,448,1206,720,15631,0,791.3333333,,,
0,448,1206,720,15669,0,791.3333333,,,
0,448,1216,720,15708,0,794.6666667,,,
0,448,1216,5072,15747,0,2245.333333,,,
0,448,1216,5072,15787,0,2245.333333,,,
0,448,1222,5072,15827,0,2247.333333,,,
0,448,1222,4938,15866,0,2202.666667,,,
0,448,1222,4938,15906,0,2202.666667,,,
0,448,1222,4938,15945,0,2202.666667,,,
0,448,1222,4896,15985,0,2188.666667,,,
0,448,1222,4896,16025,0,2188.666667,,,
0,448,1222,4896,16063,0,2188.666667,,,
0,448,1248,2696,16103,0,1464,,,
0,448,1248,2696,16142,0,1464,,,
0,448,1248,2696,16182,0,1464,,,
0,448,1246,2696,16221,0,1463.333333,,,
0,448,1246,770,16260,0,821.3333333,,,
0,448,1246,770,16299,0,821.3333333,,,
0,448,1246,770,16337,0,821.3333333,,,
0,448,1246,776,16376,0,823.3333333,,,
0,2248,1246,776,16415,0,1423.333333,,,
0,2248,1936,776,16455,0,1653.333333,,,
0,2248,1936,776,16495,0,1653.333333,,,
0,2926,1936,776,16533,0,1879.333333,,,
0,2926,1936,776,16573,0,1879.333333,,,
0,2926,3150,776,16612,0,2284,,,
0,2818,3150,776,16652,0,2248,,,
0,2818,3150,776,16692,0,2248,,,
0,2818,3070,776,16731,0,2221.333333,,,
0,2818,3070,776,16771,0,2221.333333,,,
0,2842,3070,776,16810,0,2229.333333,,,
0,2842,3132,776,16850,0,2250,,,
0,2842,3132,776,16890,0,2250,,,
0,2896,3132,776,16929,0,2268,,,
0,2896,3166,776,16969,0,2279.333333,,,
0,2896,3166,780,17008,0,2280.666667,,,
0,2960,3166,780,17048,0,2302,,,
0,2960,3142,780,17086,0,2294,,,
0,2960,3142,724,17126,0,2275.333333,,,
0,1010,3142,724,17166,0,1625.333333,,,
0,1010,3830,724,17205,0,1854.666667,,,
0,1010,3830,4702,17246,0,3180.666667,,,
0,1010,3830,4702,17286,0,3180.666667,,,
0,1128,3830,4702,17327,0,3220,,,
0,1128,888,4702,17367,0,2239.333333,,,
